mountain,base_depth,region,new_snow,day,year_total
Mt. Hood Meadows,24 in.,Mt. Hood,4 in.,"Dec  7, 2013",241 in.
Mt. Bachelor,170 in.,Oregon,12 in.,"Mar 28, 2011",243 in.
Mt. Bachelor,148 in.,Oregon,9 in.,"Mar 20, 2012",317 in.
Mt. Hood Meadows,133 in.,Mt. Hood,1 in.,"Apr  1, 2014",289 in.
Mt. Hood Meadows,148 in.,Mt. Hood,4 in.,"Apr 22, 2011",257 in.
Mt. Hood Meadows,6 in.,Mt. Hood,4 in.,"Nov  6, 2009",340 in.
Mt. Hood Meadows,148 in.,Mt. Hood,13 in.,"Mar 15, 2012",318 in.
Mt. Hood Meadows,126 in.,Mt. Hood,3 in.,"May  5, 2010",188 in.
Timberline Lodge,85 in.,Oregon,4 in.,"May  4, 2014",344 in.
Timberline Lodge,186 in.,Oregon,4 in.,"Jun  2, 2011",345 in.
Timberline Lodge,44 in.,Oregon,15 in.,"Dec  6, 2012",403 in.
Timberline Lodge,28 in.,Oregon,1 in.,"Nov 21, 2009",392 in.
Timberline Lodge,110 in.,Oregon,1 in.,"May 27, 2013",285 in.
Timberline Lodge,87 in.,Oregon,9 in.,"Dec 11, 2010",289 in.
Mt. Bachelor,111 in.,Oregon,1 in.,"Mar 28, 2013",299 in.
Mt. Bachelor,108 in.,Oregon,8 in.,"Mar 17, 2014",508 in.
Mt. Bachelor,119 in.,Oregon,2 in.,"Apr  8, 2010",187 in.
Mt. Bachelor,100 in.,Oregon,5 in.,"Dec 24, 2015",239 in.
Mt. Hood Meadows,22 in.,Mt. Hood,3 in.,"Dec 13, 2013",244 in.
Mt. Bachelor,167 in.,Oregon,4 in.,"Mar 29, 2011",247 in.
Mt. Bachelor,156 in.,Oregon,12 in.,"Mar 21, 2012",329 in.
Mt. Hood Meadows,132 in.,Mt. Hood,2 in.,"Apr  2, 2014",291 in.
Mt. Hood Meadows,144 in.,Mt. Hood,3 in.,"Apr 25, 2011",260 in.
Mt. Hood Meadows,29 in.,Mt. Hood,3 in.,"Nov 10, 2009",343 in.
